,Country,DemoK_4,DemoK_8,DemoK_16,DemoK_32,DemoSpec_16,DemoSpec_32,SocietyK_4,SocietyK_8,SocietyK_16,SocietyK_32,SocietySpec_16,SocietySpec_32,ClimateK_4,ClimateK_8,ClimateK_16,ClimateSpec_16,ClimateSpec_32,ClimateSpec_64,EconomyK_4,EconomyK_8,EconomyK_16,EconomySpec_8,EconomySpec_16,EconomySpec_32,ReligionK_4,ReligionK_8,ReligionK_16,ReligionSpec_16,ReligionSpec_32,ReligionSpec_64,LanguageK_4,LanguageK_8,LanguageSpec_16,LanguageSpec_64,LanguageDBS_3,LanguageDBS_4
0,Afghanistan,2.0,2.0,4.0,12.0,3.0,28.0,1.0,7.0,8.0,29.0,8.0,15.0,0.0,6.0,2.0,0.0,4.0,56.0,0.0,3.0,4.0,2.0,4.0,3.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,3.0,14.0,34.0,,
1,Akrotiri Sovereign Base Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Aland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Albania,1.0,1.0,7.0,16.0,2.0,10.0,2.0,1.0,9.0,20.0,10.0,12.0,3.0,1.0,4.0,8.0,0.0,50.0,0.0,6.0,12.0,0.0,4.0,3.0,0.0,7.0,6.0,13.0,18.0,8.0,2.0,1.0,4.0,62.0,,
4,Algeria,0.0,4.0,0.0,18.0,11.0,5.0,2.0,1.0,9.0,27.0,15.0,12.0,2.0,3.0,8.0,14.0,10.0,1.0,0.0,4.0,10.0,2.0,4.0,6.0,0.0,0.0,9.0,2.0,0.0,0.0,2.0,1.0,4.0,55.0,5.0,1.0
5,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
6,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,8.0,5.0,1.0
7,Angola,2.0,6.0,1.0,3.0,3.0,28.0,1.0,7.0,6.0,30.0,5.0,10.0,1.0,0.0,12.0,4.0,18.0,51.0,0.0,4.0,8.0,0.0,7.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0
8,Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
9,Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Antigua and Barbuda,1.0,3.0,8.0,20.0,0.0,12.0,2.0,1.0,9.0,28.0,4.0,7.0,0.0,4.0,3.0,5.0,30.0,7.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,9.0,8.0,3.0,3.0
11,Argentina,1.0,1.0,14.0,7.0,0.0,23.0,2.0,1.0,9.0,7.0,10.0,1.0,2.0,0.0,13.0,1.0,11.0,15.0,0.0,0.0,7.0,2.0,15.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,12.0,2.0,0.0
12,Armenia,1.0,3.0,8.0,20.0,2.0,12.0,2.0,1.0,9.0,20.0,10.0,22.0,3.0,6.0,2.0,0.0,4.0,56.0,0.0,6.0,12.0,0.0,4.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,2.0
13,Aruba,1.0,3.0,8.0,20.0,15.0,12.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
14,Ashmore and Cartier Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Australia,1.0,3.0,8.0,13.0,5.0,15.0,2.0,5.0,5.0,2.0,11.0,5.0,2.0,0.0,13.0,1.0,20.0,41.0,2.0,7.0,15.0,3.0,3.0,2.0,0.0,7.0,12.0,2.0,28.0,11.0,3.0,0.0,9.0,8.0,3.0,3.0
16,Austria,1.0,3.0,12.0,19.0,5.0,15.0,2.0,5.0,5.0,19.0,11.0,5.0,3.0,1.0,5.0,8.0,2.0,3.0,2.0,5.0,9.0,6.0,9.0,13.0,0.0,7.0,6.0,14.0,16.0,17.0,3.0,6.0,15.0,28.0,,
17,Azerbaijan,1.0,1.0,7.0,23.0,14.0,12.0,2.0,4.0,11.0,3.0,12.0,13.0,3.0,6.0,2.0,14.0,4.0,33.0,0.0,4.0,10.0,0.0,11.0,27.0,0.0,7.0,12.0,2.0,29.0,19.0,0.0,3.0,8.0,13.0,8.0,4.0
18,Bahamas,,,,,,,0.0,3.0,7.0,14.0,0.0,7.0,,,,,,,0.0,0.0,13.0,2.0,6.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
19,Bahrain,0.0,1.0,7.0,24.0,14.0,31.0,2.0,1.0,9.0,27.0,9.0,18.0,2.0,3.0,8.0,6.0,10.0,63.0,0.0,4.0,0.0,7.0,14.0,28.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,2.0
20,Bajo Nuevo Bank (Petrel Is.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Bangladesh,0.0,4.0,0.0,2.0,2.0,10.0,3.0,4.0,1.0,26.0,12.0,6.0,1.0,2.0,10.0,12.0,1.0,57.0,0.0,4.0,10.0,2.0,4.0,3.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,4.0,2.0,14.0,,
22,Barbados,1.0,3.0,8.0,9.0,15.0,12.0,2.0,1.0,9.0,28.0,4.0,7.0,0.0,4.0,3.0,12.0,30.0,7.0,0.0,0.0,13.0,2.0,6.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,7.0,20.0,7.0,3.0
23,Baykonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Belarus,1.0,3.0,2.0,0.0,15.0,12.0,2.0,1.0,2.0,24.0,10.0,1.0,3.0,1.0,5.0,7.0,25.0,3.0,0.0,6.0,5.0,0.0,11.0,27.0,1.0,1.0,1.0,2.0,6.0,22.0,0.0,5.0,12.0,9.0,6.0,
25,Belgium,1.0,3.0,12.0,13.0,5.0,15.0,2.0,5.0,5.0,19.0,11.0,5.0,3.0,1.0,4.0,10.0,3.0,3.0,2.0,7.0,15.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,6.0,5.0,30.0,4.0,
26,Belize,0.0,4.0,0.0,18.0,2.0,8.0,0.0,3.0,7.0,14.0,7.0,7.0,1.0,2.0,10.0,12.0,16.0,39.0,0.0,0.0,7.0,2.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,5.0,49.0,,
27,Benin,2.0,2.0,13.0,15.0,11.0,8.0,1.0,7.0,8.0,1.0,5.0,10.0,0.0,4.0,3.0,12.0,16.0,18.0,0.0,3.0,4.0,2.0,13.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,45.0,5.0,1.0
28,Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
29,Bhutan,0.0,4.0,10.0,21.0,1.0,1.0,3.0,4.0,1.0,26.0,12.0,6.0,1.0,1.0,15.0,8.0,2.0,0.0,0.0,4.0,10.0,0.0,13.0,6.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,3.0,1.0,27.0,,
30,Bolivia,0.0,4.0,3.0,30.0,11.0,8.0,3.0,4.0,11.0,16.0,15.0,20.0,1.0,0.0,12.0,4.0,18.0,49.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,12.0,2.0,0.0
31,Bosnia and Herzegovina,1.0,3.0,2.0,26.0,15.0,12.0,2.0,1.0,9.0,20.0,10.0,12.0,3.0,1.0,5.0,8.0,2.0,30.0,0.0,6.0,12.0,0.0,2.0,3.0,2.0,3.0,11.0,8.0,2.0,2.0,0.0,5.0,1.0,22.0,,6.0
32,Botswana,0.0,4.0,0.0,18.0,2.0,30.0,3.0,0.0,14.0,15.0,0.0,12.0,2.0,0.0,9.0,1.0,11.0,57.0,0.0,0.0,7.0,2.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,7.0,8.0,7.0,3.0
33,Brazil,1.0,1.0,8.0,20.0,2.0,12.0,0.0,3.0,7.0,14.0,4.0,7.0,1.0,5.0,12.0,15.0,20.0,41.0,0.0,0.0,7.0,2.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,0.0,,0.0
34,British Indian Ocean Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
36,Brunei,1.0,1.0,7.0,23.0,2.0,12.0,2.0,4.0,11.0,3.0,12.0,12.0,1.0,5.0,0.0,11.0,7.0,9.0,0.0,4.0,0.0,7.0,14.0,28.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,4.0,7.0,8.0,7.0,3.0
37,Bulgaria,1.0,3.0,2.0,19.0,15.0,15.0,2.0,1.0,9.0,20.0,10.0,1.0,3.0,1.0,4.0,14.0,3.0,44.0,0.0,6.0,5.0,6.0,15.0,6.0,1.0,4.0,7.0,3.0,4.0,4.0,0.0,5.0,3.0,22.0,,6.0
38,Burkina Faso,2.0,6.0,1.0,12.0,3.0,28.0,1.0,7.0,8.0,1.0,5.0,10.0,0.0,4.0,3.0,5.0,30.0,7.0,0.0,3.0,11.0,5.0,13.0,3.0,0.0,0.0,9.0,2.0,0.0,0.0,2.0,1.0,4.0,41.0,,1.0
39,Burundi,2.0,6.0,1.0,3.0,3.0,28.0,1.0,7.0,6.0,29.0,8.0,15.0,0.0,4.0,3.0,4.0,31.0,17.0,0.0,3.0,11.0,5.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,10.0,38.0,,
40,Cambodia,0.0,4.0,10.0,25.0,1.0,1.0,3.0,4.0,1.0,26.0,12.0,6.0,1.0,2.0,10.0,12.0,30.0,7.0,0.0,3.0,4.0,0.0,4.0,6.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,3.0,1.0,6.0,,
41,Cameroon,2.0,2.0,13.0,15.0,11.0,8.0,1.0,7.0,8.0,18.0,5.0,10.0,1.0,2.0,12.0,12.0,6.0,34.0,0.0,3.0,4.0,2.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,5.0,17.0,,
42,Canada,1.0,3.0,12.0,13.0,5.0,15.0,2.0,5.0,5.0,2.0,11.0,5.0,3.0,7.0,6.0,2.0,9.0,4.0,2.0,5.0,3.0,6.0,9.0,13.0,0.0,0.0,12.0,2.0,0.0,44.0,3.0,0.0,5.0,17.0,,
43,Cape Verde,0.0,4.0,10.0,25.0,1.0,1.0,,,,,,,2.0,3.0,9.0,14.0,14.0,46.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0
44,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
45,Central African Republic,2.0,2.0,11.0,1.0,11.0,8.0,1.0,2.0,13.0,6.0,13.0,17.0,0.0,2.0,3.0,12.0,13.0,26.0,0.0,3.0,11.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,43.0,2.0,1.0,4.0,24.0,5.0,1.0
46,Chad,2.0,6.0,1.0,3.0,3.0,28.0,1.0,2.0,13.0,10.0,3.0,4.0,0.0,4.0,14.0,5.0,14.0,47.0,0.0,3.0,11.0,5.0,5.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,2.0,1.0,4.0,36.0,5.0,1.0
47,Chile,1.0,3.0,8.0,20.0,2.0,12.0,2.0,5.0,5.0,2.0,11.0,5.0,3.0,0.0,13.0,1.0,15.0,15.0,0.0,0.0,7.0,2.0,15.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,12.0,2.0,0.0
48,China,1.0,3.0,8.0,29.0,9.0,17.0,2.0,4.0,0.0,17.0,1.0,29.0,3.0,7.0,6.0,15.0,3.0,56.0,0.0,6.0,5.0,0.0,11.0,27.0,0.0,0.0,10.0,2.0,0.0,0.0,2.0,1.0,0.0,10.0,,
49,Clipperton Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Colombia,1.0,1.0,7.0,23.0,2.0,12.0,0.0,3.0,7.0,14.0,4.0,7.0,1.0,5.0,0.0,11.0,7.0,9.0,0.0,0.0,7.0,2.0,15.0,31.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,12.0,2.0,0.0
51,Comoros,2.0,2.0,11.0,1.0,11.0,8.0,,,,,,,0.0,4.0,3.0,4.0,31.0,17.0,0.0,3.0,11.0,5.0,5.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,2.0,1.0,4.0,36.0,5.0,1.0
52,Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,7.0,20.0,7.0,3.0
53,Coral Sea Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Costa Rica,1.0,1.0,7.0,23.0,2.0,10.0,2.0,5.0,5.0,28.0,4.0,7.0,1.0,5.0,0.0,11.0,7.0,9.0,0.0,0.0,13.0,2.0,6.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,12.0,2.0,0.0
55,Croatia,1.0,3.0,2.0,19.0,15.0,15.0,2.0,5.0,5.0,20.0,10.0,1.0,3.0,1.0,4.0,14.0,2.0,42.0,2.0,6.0,5.0,6.0,2.0,5.0,0.0,7.0,6.0,2.0,26.0,36.0,0.0,5.0,3.0,63.0,,
56,Cuba,1.0,3.0,12.0,13.0,5.0,15.0,2.0,1.0,9.0,20.0,10.0,7.0,2.0,3.0,12.0,12.0,27.0,23.0,0.0,0.0,7.0,2.0,6.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,12.0,2.0,0.0
57,Curaçao,1.0,3.0,8.0,20.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Cyprus,1.0,3.0,8.0,9.0,2.0,12.0,2.0,5.0,5.0,2.0,11.0,5.0,2.0,3.0,1.0,14.0,26.0,22.0,2.0,0.0,13.0,2.0,6.0,25.0,1.0,5.0,15.0,0.0,15.0,35.0,3.0,6.0,11.0,19.0,,
59,Cyprus No Mans Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Czech Republic,1.0,3.0,12.0,19.0,5.0,15.0,2.0,5.0,5.0,20.0,10.0,1.0,3.0,1.0,4.0,14.0,3.0,3.0,0.0,6.0,5.0,7.0,15.0,7.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,5.0,15.0,59.0,,
61,Democratic Republic of the Congo,2.0,6.0,1.0,3.0,3.0,28.0,1.0,7.0,4.0,9.0,6.0,15.0,1.0,2.0,12.0,4.0,16.0,61.0,0.0,3.0,8.0,2.0,7.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,50.0,,1.0
62,Denmark,1.0,3.0,12.0,13.0,5.0,15.0,2.0,5.0,5.0,19.0,11.0,5.0,3.0,1.0,4.0,10.0,3.0,54.0,2.0,5.0,3.0,6.0,9.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,6.0,11.0,28.0,,
63,Dhekelia Sovereign Base Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Djibouti,0.0,7.0,10.0,30.0,1.0,1.0,,,,,,,2.0,3.0,8.0,6.0,10.0,63.0,0.0,0.0,7.0,2.0,6.0,27.0,0.0,0.0,9.0,2.0,0.0,0.0,2.0,1.0,4.0,36.0,5.0,1.0
65,Dominica,,,,,,,,,,,,,1.0,5.0,7.0,9.0,16.0,2.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,9.0,8.0,3.0,3.0
66,Dominican Republic,0.0,1.0,14.0,22.0,0.0,24.0,2.0,1.0,11.0,16.0,0.0,31.0,1.0,5.0,12.0,12.0,3.0,36.0,0.0,4.0,7.0,2.0,15.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,12.0,2.0,0.0
67,East Timor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,6.0,0.0,0.0,0.0
68,Ecuador,0.0,1.0,0.0,22.0,4.0,11.0,2.0,1.0,9.0,28.0,4.0,27.0,1.0,5.0,10.0,11.0,18.0,62.0,0.0,4.0,7.0,2.0,4.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,12.0,2.0,0.0
69,Egypt,0.0,4.0,3.0,18.0,11.0,8.0,2.0,1.0,11.0,16.0,0.0,18.0,0.0,4.0,14.0,5.0,14.0,47.0,0.0,4.0,10.0,2.0,15.0,14.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,3.0,14.0,34.0,,
70,El Salvador,0.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,12.0,4.0,7.0,2.0,1.0,5.0,10.0,12.0,16.0,31.0,0.0,0.0,7.0,2.0,10.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,12.0,2.0,0.0
71,Equatorial Guinea,2.0,2.0,11.0,1.0,11.0,8.0,1.0,7.0,8.0,1.0,5.0,10.0,1.0,5.0,7.0,9.0,5.0,2.0,0.0,4.0,8.0,2.0,7.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,0.0,,0.0
72,Eritrea,2.0,2.0,11.0,1.0,1.0,1.0,3.0,0.0,6.0,29.0,8.0,15.0,0.0,4.0,14.0,5.0,14.0,47.0,0.0,3.0,4.0,2.0,13.0,3.0,0.0,0.0,9.0,2.0,0.0,0.0,2.0,1.0,4.0,44.0,5.0,1.0
73,Estonia,1.0,3.0,2.0,0.0,15.0,12.0,2.0,5.0,5.0,20.0,10.0,1.0,3.0,1.0,5.0,7.0,25.0,3.0,2.0,6.0,5.0,6.0,15.0,6.0,2.0,6.0,8.0,12.0,7.0,34.0,0.0,5.0,3.0,25.0,9.0,
74,Ethiopia,2.0,2.0,4.0,12.0,1.0,1.0,3.0,0.0,6.0,8.0,8.0,15.0,0.0,4.0,3.0,5.0,30.0,17.0,0.0,3.0,11.0,5.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,14.0,47.0,,
75,Falkland Islands,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
76,Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
77,Federated States of Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,7.0,8.0,7.0,3.0
78,Fiji,0.0,1.0,14.0,22.0,10.0,6.0,,,,,,,1.0,5.0,7.0,11.0,18.0,3.0,0.0,0.0,12.0,2.0,13.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,2.0,14.0,,
79,Finland,1.0,3.0,12.0,13.0,5.0,15.0,2.0,5.0,5.0,19.0,11.0,5.0,3.0,1.0,5.0,7.0,25.0,3.0,2.0,5.0,9.0,6.0,2.0,13.0,0.0,0.0,12.0,2.0,0.0,63.0,3.0,6.0,11.0,28.0,10.0,5.0
80,France,1.0,3.0,12.0,13.0,5.0,15.0,2.0,5.0,5.0,19.0,11.0,5.0,3.0,1.0,4.0,14.0,3.0,58.0,2.0,5.0,3.0,6.0,9.0,13.0,0.0,0.0,0.0,2.0,0.0,63.0,2.0,1.0,4.0,0.0,,1.0
81,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
82,Gabon,0.0,7.0,3.0,14.0,11.0,8.0,3.0,0.0,6.0,11.0,12.0,12.0,1.0,5.0,7.0,9.0,5.0,2.0,0.0,4.0,10.0,0.0,11.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,33.0,5.0,1.0
